a,sigma,k,u_hat,delta,outcome
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
0.220816327,0.01,0.2,0.4,0.0006,increase
